miRNA	Gene	Input
gga-miR-190a-3p	AJAP1	-1
gga-miR-190a-3p	UHRF1	-1
gga-miR-190a-3p	ZBTB2	-1
gga-miR-190a-3p	KCNK10	-1
gga-miR-190a-3p	TXLNA	-1
gga-miR-190a-3p	TDH	-1
gga-miR-190a-3p	PIAS1	-1
gga-miR-190a-3p	TRABD	-1
gga-miR-190a-3p	SUSD4	-1
gga-miR-190a-3p	UHRF1BP1L	-1
gga-miR-190a-3p	SNCA	-1
gga-miR-190a-3p	SNX24	-1
gga-miR-190a-3p	RABL3	-1
gga-miR-190a-3p	ADM	-1
gga-miR-190a-3p	KPNA1	-1
gga-miR-190a-3p	SH2D1B	-1
gga-miR-190a-3p	ATN1	-1
